pNum,INIT,MUT,GC,EXIT,Date
"0059",0,0,0,0,2014-05-25
"0060",0,0.44,0,0,2014-05-25
"0061",0,0.02,0,0,2014-05-25
"0062",0,1.77,0.03,0,2014-05-25
"0063",0,0,0,0,2014-05-25
"0064",0,0.39,0,0,2014-05-25
"0065",0,0,0,0,2014-05-25
"0067",0,0.05,0.02,0,2014-05-25
"0069",0,1.81,0.25,0,2014-05-25
"0070",0,0.19,0.05,0,2014-05-25
"0071",0,1.91,0,0,2014-05-25
"0072",0,1.58,0.02,0,2014-05-25
"0073",0,0.69,0.02,0,2014-05-25
"0074",0,1.17,0.02,0,2014-05-25
"0076",0,0,0,0,2014-05-25
"0079",0,0,0,0,2014-05-25
"0081",0,0.06,0,0,2014-05-25
"0085",0,0.12,0,0,2014-05-25
"0089",0,0.02,0,0,2014-05-25
"0092",0,0.03,0.02,0,2014-05-25
"0097",0,0.66,2.03,0,2014-05-25
"0099",0,0.05,0,0,2014-05-25
"0102",0,0.08,0.02,0,2014-05-25
"0112",0,3.66,0.05,0,2014-05-25
"0206",0,0.67,0.02,0,2014-05-25
"0381",0,3.69,0.05,0,2014-05-25
"0001",0,0,0,0,2014-05-27
"0002",0,0,0,0,2014-05-27
"0003",0,0,0,0,2014-05-27
"0004",0,0.36,0,0,2014-05-27
"0005",0,0,0,0,2014-05-27
"0006",0,0,0,0,2014-05-27
"0007",0,0.02,0,0,2014-05-27
"0008",0,0,0,0,2014-05-27
"0009",0,0.02,0,0,2014-05-27
"0010",0,0.44,0.05,0,2014-05-27
"0011",0,0,0,0,2014-05-27
"0012",0,0.08,0,0,2014-05-27
"0013",0,0,0,0,2014-05-27
"0014",0,2.36,0.02,0,2014-05-27
"0015",0,0,0,0,2014-05-27
"0016",0,0,0,0,2014-05-27
"0017",0,0,0,0,2014-05-27
"0018",0,0,0,0,2014-05-27
"0019",0,0,0,0,2014-05-27
"0020",0,0,0,0,2014-05-27
"0021",0,0.47,0,0,2014-05-27
"0022",0,0.05,0,0,2014-05-27
"0023",0,3.38,0.05,0,2014-05-27
"0024",0,1.84,0.75,0,2014-05-27
"0025",0,0,0,0,2014-05-27
"0026",0,0.58,0.02,0,2014-05-27
"0027",0,1.11,1.69,0,2014-05-27
"0028",0,0.05,0,0.02,2014-05-27
"0029",0,0.02,0,0,2014-05-27
"0030",0,0.44,0,0,2014-05-27
"0031",0,0.3,0,0,2014-05-27
"0032",0,2.77,0.39,0,2014-05-27
"0033",0,0,0,0,2014-05-27
"0034",0,1.03,0,0,2014-05-27
"0035",0,4.06,0.59,0,2014-05-27
"0036",0,0.56,0.02,0,2014-05-27
"0037",0,1.08,0,0,2014-05-27
"0038",0,0.14,0.17,0,2014-05-27
"0039",0,4.44,0,0,2014-05-27
"0040",0,0.06,0.02,0,2014-05-27
"0041",0,0.05,0,0,2014-05-27
"0042",0,0,0,0,2014-05-27
"0043",0,0.02,0,0,2014-05-27
"0044",0,0.98,0,0.02,2014-05-27
"0045",0,0.05,0,0,2014-05-27
"0046",0,0.03,0,0,2014-05-27
"0047",0,0.14,0,0,2014-05-27
"0048",0,0.02,0,0,2014-05-27
"0049",0,0.77,0.02,0,2014-05-27
"0050",0,1.98,0,0,2014-05-27
"0051",0,2.59,0.05,0,2014-05-27
"0052",0,0.03,0,0,2014-05-27
"0053",0,0,0,0,2014-05-27
"0054",0,0.08,0,0,2014-05-27
"0055",0,0.48,0.02,0,2014-05-27
"0056",0,0.11,0,0,2014-05-27
"0057",0,1.08,0.02,0,2014-05-27
"0058",0,1.09,0,0,2014-05-27
"0059",0,0,0,0,2014-05-27
"0060",0,0.44,0,0,2014-05-27
"0061",0,0.02,0,0,2014-05-27
"0062",0,1.77,0.03,0,2014-05-27
"0063",0,0,0,0,2014-05-27
"0064",0,0.39,0,0,2014-05-27
"0065",0,0,0,0,2014-05-27
"0067",0,0.05,0.02,0,2014-05-27
"0069",0,1.81,0.25,0,2014-05-27
"0070",0,0.19,0.05,0,2014-05-27
"0071",0,1.91,0,0,2014-05-27
"0072",0,1.58,0.02,0,2014-05-27
"0073",0,0.69,0.02,0,2014-05-27
"0074",0,1.17,0.02,0,2014-05-27
"0076",0,0,0,0,2014-05-27
"0079",0,0,0,0,2014-05-27
"0081",0,0.06,0,0,2014-05-27
"0085",0,0.12,0,0,2014-05-27
"0089",0,0.02,0,0,2014-05-27
"0092",0,0.03,0.02,0,2014-05-27
"0097",0,0.66,2.03,0,2014-05-27
"0099",0,0.05,0,0,2014-05-27
"0102",0,0.08,0.02,0,2014-05-27
"0112",0,3.66,0.05,0,2014-05-27
"0206",0,0.67,0.02,0,2014-05-27
"0381",0,3.69,0.05,0,2014-05-27
